question,contexts,ground_truth,evolution_type,metadata,episode_done
How did the speaker's bad cold affect their experience at the banquet?,"['been asked to ﬁll up the required number, like goods in a package. \n‘One Gross, indeed! Vulgar expression.’ \nIt is also, if I may be allowed to refer to ancient history, the anniversary \nof my arrival by barrel at Esgaroth on the Long Lake; though the fact \nthat it was my birthday slipped my memory on that occasion. I was only \nﬁfty-one then, and birthdays did not seem so important. The banquet was \nvery splendid, however, though I had a bad cold at the time, I remember, \nand could only say ‘thag you very buch’. I now repeat it more correctly:']",The speaker's bad cold affected their experience at the banquet as they could only say 'thag you very buch' instead of expressing their gratitude more correctly.,simple,"[{'source': 'lotr.pdf', 'file_path': 'lotr.pdf', 'page': 53, 'total_pages': 1210, 'format': 'PDF 1.5', 'title': 'The Lord of the Rings', 'author': 'J. R. R. Tolkien', 'subject': '', 'keywords': '', 'creator': 'Adobe Acrobat 9.0.0', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'creationDate': ""D:20090523145628+05'30'"", 'modDate': ""D:20100813200505+02'00'"", 'trapped': ''}]",True
What happened to Pippin after he fell asleep in the bower under the trees?,"['After a while Pippin fell fast asleep, and was lifted up and borne \naway to a bower under the trees; there he was laid upon a soft bed \nand slept the rest of the night away. Sam refused to leave his master. \nWhen Pippin had gone, he came and sat curled up at Frodo’s feet, \nwhere at last he nodded and closed his eyes. Frodo remained long \nawake, talking with Gildor. \nThey spoke of many things, old and new, and Frodo questioned \nGildor much about happenings in the wide world outside the Shire.']","Pippin was lifted up and borne away to a bower under the trees, where he was laid upon a soft bed and slept the rest of the night away.",simple,"[{'source': 'lotr.pdf', 'file_path': 'lotr.pdf', 'page': 105, 'total_pages': 1210, 'format': 'PDF 1.5', 'title': 'The Lord of the Rings', 'author': 'J. R. R. Tolkien', 'subject': '', 'keywords': '', 'creator': 'Adobe Acrobat 9.0.0', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'creationDate': ""D:20090523145628+05'30'"", 'modDate': ""D:20100813200505+02'00'"", 'trapped': ''}]",True
What was Frodo often seen doing far from home under the starlight?,"['over the Shire with them; but more often he wandered by himself, \nand to the amazement of sensible folk he was sometimes seen far \nfrom home walking in the hills and woods under the starlight. Merry']",Frodo was often seen walking in the hills and woods far from home under the starlight.,simple,"[{'source': 'lotr.pdf', 'file_path': 'lotr.pdf', 'page': 65, 'total_pages': 1210, 'format': 'PDF 1.5', 'title': 'The Lord of the Rings', 'author': 'J. R. R. Tolkien', 'subject': '', 'keywords': '', 'creator': 'Adobe Acrobat 9.0.0', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'creationDate': ""D:20090523145628+05'30'"", 'modDate': ""D:20100813200505+02'00'"", 'trapped': ''}]",True
What is Bilbo's attitude towards going on the Road with dwarves?,"['‘Well, that’s that,’ he said. ‘Now I’m off !’ \nThey went out into the hall. Bilbo chose his favourite stick from \nthe stand; then he whistled. Three dwarves came out of different \nrooms where they had been busy. \n‘Is everything ready?’ asked Bilbo. ‘Everything packed and labelled?’ \n‘Everything,’ they answered. \n‘Well, let’s start then!’ He stepped out of the front-door. \nIt was a ﬁne night, and the black sky was dotted with stars. He \nlooked up, snifﬁng the air. ‘What fun! What fun to be off again, off \non the Road with dwarves! This is what I have really been longing']",Bilbo's attitude towards going on the Road with dwarves is one of excitement and joy. He describes it as fun and something he has been longing for.,simple,"[{'source': 'lotr.pdf', 'file_path': 'lotr.pdf', 'page': 58, 'total_pages': 1210, 'format': 'PDF 1.5', 'title': 'The Lord of the Rings', 'author': 'J. R. R. Tolkien', 'subject': '', 'keywords': '', 'creator': 'Adobe Acrobat 9.0.0', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'creationDate': ""D:20090523145628+05'30'"", 'modDate': ""D:20100813200505+02'00'"", 'trapped': ''}]",True
What is the significance of the Shire in the context of the story?,"['over the Shire with them; but more often he wandered by himself, \nand to the amazement of sensible folk he was sometimes seen far \nfrom home walking in the hills and woods under the starlight. Merry']",The answer to given question is not present in context,simple,"[{'source': 'lotr.pdf', 'file_path': 'lotr.pdf', 'page': 65, 'total_pages': 1210, 'format': 'PDF 1.5', 'title': 'The Lord of the Rings', 'author': 'J. R. R. Tolkien', 'subject': '', 'keywords': '', 'creator': 'Adobe Acrobat 9.0.0', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'creationDate': ""D:20090523145628+05'30'"", 'modDate': ""D:20100813200505+02'00'"", 'trapped': ''}]",True
Who did Frodo find sitting in the rushes by the pool?,"['By that pool long ago I found the River-daughter, \nfair young Goldberry sitting in the rushes. \nSweet was her singing then, and her heart was beating! \nHe opened his eyes and looked at them with a sudden glint of blue: \nAnd that proved well for you – for now I shall no longer \ngo down deep again along the forest-water, \nnot while the year is old. Nor shall I be passing \nOld Man Willow’s house this side of spring-time, \nnot till the merry spring, when the River-daughter \ndances down the withy-path to bathe in the water. \nHe fell silent again; but Frodo could not help asking one more']","The River-daughter, fair young Goldberry",simple,"[{'source': 'lotr.pdf', 'file_path': 'lotr.pdf', 'page': 149, 'total_pages': 1210, 'format': 'PDF 1.5', 'title': 'The Lord of the Rings', 'author': 'J. R. R. Tolkien', 'subject': '', 'keywords': '', 'creator': 'Adobe Acrobat 9.0.0', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'creationDate': ""D:20090523145628+05'30'"", 'modDate': ""D:20100813200505+02'00'"", 'trapped': ''}]",True
What led to the increased interest in Hobbit history during the Third Age?,"['14 \nTH \nE L \nORD OF THE RI \nNGS \nof his hundred-and-eleventh birthday (S.R. 1401). At this point this \nHistory begins. \nNOTE ON THE SHIRE RECORDS \nAt the end of the Third Age the part played by the Hobbits in the \ngreat events that led to the inclusion of the Shire in the Reunited \nKingdom awakened among them a more widespread interest in their \nown history; and many of their traditions, up to that time still mainly \noral, were collected and written down. The greater families were also \nconcerned with events in the Kingdom at large, and many of their']",The part played by the Hobbits in the great events that led to the inclusion of the Shire in the Reunited Kingdom awakened among them a more widespread interest in their own history.,simple,"[{'source': 'lotr.pdf', 'file_path': 'lotr.pdf', 'page': 37, 'total_pages': 1210, 'format': 'PDF 1.5', 'title': 'The Lord of the Rings', 'author': 'J. R. R. Tolkien', 'subject': '', 'keywords': '', 'creator': 'Adobe Acrobat 9.0.0', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'creationDate': ""D:20090523145628+05'30'"", 'modDate': ""D:20100813200505+02'00'"", 'trapped': ''}]",True
"Who did Bilbo address as ""My dear Bagginses and Boffins""?","['silk waistcoat. They could all see him standing, waving one hand in \nthe air, the other was in his trouser-pocket. \nMy dear Bagginses and Bofﬁns, he began again; and my dear Tooks \nand Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Horn-\nblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots. \n‘Proudfeet!’ shouted an elderly hobbit from the back of the pavilion. \nHis name, of course, was Proudfoot, and well merited; his feet were \nlarge, exceptionally furry, and both were on the table. \nProudfoots, repeated Bilbo. Also my good Sackville-Bagginses that I']","Bilbo addressed the Bagginses and Boffins as ""My dear Bagginses and Boffins"".",simple,"[{'source': 'lotr.pdf', 'file_path': 'lotr.pdf', 'page': 52, 'total_pages': 1210, 'format': 'PDF 1.5', 'title': 'The Lord of the Rings', 'author': 'J. R. R. Tolkien', 'subject': '', 'keywords': '', 'creator': 'Adobe Acrobat 9.0.0', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'creationDate': ""D:20090523145628+05'30'"", 'modDate': ""D:20100813200505+02'00'"", 'trapped': ''}]",True
Who can Frodo trust to stick by his side and keep his secrets?,"['has some sense, mind you; and when you said go alone, he said no! \ntake someone as you can trust.’ \n‘But it does not seem that I can trust anyone,’ said Frodo. \nSam looked at him unhappily. ‘It all depends on what you want,’ \nput in Merry. ‘You can trust us to stick to you through thick and \nthin – to the bitter end. And you can trust us to keep any secret of \nyours – closer than you keep it yourself. But you cannot trust us to \nlet you face trouble alone, and go off without a word. We are your \nfriends, Frodo. Anyway: there it is. We know most of what Gandalf']","Frodo can trust Sam, Merry, and the rest of his friends to stick by his side and keep his secrets.",simple,"[{'source': 'lotr.pdf', 'file_path': 'lotr.pdf', 'page': 128, 'total_pages': 1210, 'format': 'PDF 1.5', 'title': 'The Lord of the Rings', 'author': 'J. R. R. Tolkien', 'subject': '', 'keywords': '', 'creator': 'Adobe Acrobat 9.0.0', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'creationDate': ""D:20090523145628+05'30'"", 'modDate': ""D:20100813200505+02'00'"", 'trapped': ''}]",True
How did courage play a role in Gandalf's decision to fight off the crawling arm?,"['but free and alive himself. Gandalf would admit that there had been \nnothing else he could do. \nBut the courage that had been awakened in him was now too \nstrong: he could not leave his friends so easily. He wavered, groping \nin his pocket, and then fought with himself again; and as he did so \nthe arm crept nearer. Suddenly resolve hardened in him, and he \nseized a short sword that lay beside him, and kneeling he stooped \nlow over the bodies of his companions. With what strength he had \nhe hewed at the crawling arm near the wrist, and the hand broke off;']","The courage that had been awakened in Gandalf was too strong for him to leave his friends easily. Despite initially wavering and fighting with himself, he ultimately resolved to fight off the crawling arm. He seized a short sword and hewed at the arm near the wrist, successfully breaking it off.",simple,"[{'source': 'lotr.pdf', 'file_path': 'lotr.pdf', 'page': 164, 'total_pages': 1210, 'format': 'PDF 1.5', 'title': 'The Lord of the Rings', 'author': 'J. R. R. Tolkien', 'subject': '', 'keywords': '', 'creator': 'Adobe Acrobat 9.0.0', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'creationDate': ""D:20090523145628+05'30'"", 'modDate': ""D:20100813200505+02'00'"", 'trapped': ''}]",True
